Date,From,Subject
"Thu, 11 Jan 2024 04:28:35 +0000",Mentioned by Corii Gallardo <premium@academia-mail.com>,"=?UTF-8?Q?=E2=80=9CGabriela_Angel_Chipana_Perez=E2=80=9D:_1?=
 =?UTF-8?Q?_menci=C3=B3n_en_un_art=C3=ADculo_sobre_Mexico_recientemente?=
 =?UTF-8?Q?_descubiertos_por_Academia?="
"Wed, 10 Jan 2024 19:45:45 -0800",=?UTF-8?B?Qmxha2UgQCBMaW5rZWRJbiBMZWFybmluZw==?= <linkedin@e.linkedin.com>,"=?UTF-8?B?R0FCUklFTEEgQU5HRUwsIHRpZW5lcyB1bmEgaW52aXRhY2nDs24=?=
	=?UTF-8?B?IHBhcmEgcHJvYmFyIExpbmtlZEluIExlYXJuaW5nIGdyYXRpcw==?="
"Thu, 11 Jan 2024 00:18:33 +0000 (UTC)",LinkedIn <messages-noreply@linkedin.com>,"=?UTF-8?Q?GABRIELA_ANGEL,_a=C3=B1ade_a_Yamil_Llampi_a_tu_red?="
"Thu, 11 Jan 2024 00:02:38 +0000","""Academia.edu"" <updates@academia-mail.com>",Someone just searched for you on Google...
10 Jan 2024 18:31:29 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+klvCfk7AgIEludGVs4oCZcyBDUFUgYnJhbmRpbmcgd2Fz?=
 =?utf-8?B?IGFscmVhZHkgY29uZnVzaW5nLCBhbmQgdG9kYXnigJlzIG5ldyBDUFVz?=
 =?utf-8?B?IG1hZGUgaXQgd29yc2UgLSBUaGUgRGFpbHkgSW5zaWRlcg==?="
"Wed, 10 Jan 2024 21:21:40 +0000",Ivan Escott from Visme <support@visme.co>,=?UTF-8?q?=F0=9F=8E=89_Visme's_2023_Annual_Feature_Recap:_Discover_Last_Y?= =?UTF-8?q?ear's_Highlights!?=
"Wed, 10 Jan 2024 16:10:51 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,Encuesta sobre merchandising UNSA
"Wed, 10 Jan 2024 20:51:55 +0000",Trello <do-not-reply@trello.com>,"Adrian Bedregal ha cambiado la fecha de vencimiento de la tarjeta
 Analisis de Overcooked de Brunch Brawl "
"Wed, 10 Jan 2024 18:48:33 +0000 (UTC)",LinkedIn <jobs-listings@linkedin.com>,"=?UTF-8?Q?Podr=C3=ADas_encajar_bien_en_el_pue?=
 =?UTF-8?Q?sto_de_Work_From_Home_Data_Entr?=
 =?UTF-8?Q?y_Specialist_en_L.A._Head_Hunter_:_En_busca_activa_de_personal?="
"Wed, 10 Jan 2024 09:46:05 -0800","""ANA MARIA CUADROS VALDIVIA (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?B?TnVldm8gYW51bmNpbzogIkVzdGltYWRvcyBhbHVtbm9zOgoKU2UgcmVhbGl6w7MgdW5h?=
	=?UTF-8?B?4oCmIg==?="
"Wed, 10 Jan 2024 17:16:46 +0000 (UTC)",Medium <hello@medium.com>,Make the New Year yours with 25% off Medium membership
"Wed, 10 Jan 2024 10:24:41 -0600 (CST)",Docker <no-reply@docker.com>,Get more out of Docker Scout: Policy & Integration
"Wed, 10 Jan 2024 14:05:05 +0000",Trello <do-not-reply@trello.com>,"=?UTF-8?Q?_Adrian_Bedregal_ha_a=C3=B1adido_una_fec?=
 =?UTF-8?Q?ha_de_vencimiento_a_la_tarjeta_Storyboar?=
 =?UTF-8?Q?d_para_el_PvP_de_Brunch_Brawl=20?="
"Wed, 10 Jan 2024 13:53:28 +0000 (UTC)",Levi Joel Castillon Urquiza <invitations@linkedin.com>,Acabo de solicitarte contacto
"Wed, 10 Jan 2024 12:56:56 +0000 (UTC)","=?utf-8?q?Universidad_T=C3=A9cnica_Federico_Santa_Maria?=
	<noreply@jobsafari.cl>","=?UTF-8?B?wqFHQUJSSUVMQQ==?= ANGEL, abre las puertas a tu futuro
 profesional en 2024! =?UTF-8?B?8J+agCBQb3N0dWxhIGEgSW5nZW5pZXLDrWE=?=
 Comercial Vespertina en la USM."
"Wed, 10 Jan 2024 12:20:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,Top 10 Advanced SQL Queries | SQL Fundamentals in DevOps.dev
"Wed, 10 Jan 2024 11:22:00 +0100","""SHEIN"" <shein@edm.shein.com>","=?UTF-8?Q?=C2=A1Descubre=20las=20mejores=20ofertas!=20=F0=9F=92=83?=
 =?UTF-8?Q?=F0=9F=8E=89?="
"Tue, 09 Jan 2024 19:52:41 -0800","""EDGAR SARMIENTO CALISAYA (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Nuevo_anuncio=3A_=22La_Presentaci=C3=B3n_de_los_grupos_que_a?=
	=?UTF-8?Q?=C3=BAn__=E2=80=A6=22?="
"Tue, 09 Jan 2024 19:50:59 -0800","""EDGAR SARMIENTO CALISAYA (Classroom)"" <no-reply@classroom.google.com>","Nueva tarea: ""Proyecto Final"""
"Tue, 09 Jan 2024 17:46:39 -0800","""ROLANDO JESUS CARDENAS TALAVERA (Classroom)"" <no-reply@classroom.google.com>",=?UTF-8?Q?Calificaci=C3=B3n_de=3A_=22Trabajo_Final=22?=
"Tue, 09 Jan 2024 16:20:54 -0800","""ROLANDO JESUS CARDENAS TALAVERA (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Nuevo_anuncio=3A_=22Buenas_noches=2C=C2=A0=0D=0ASe_les_ha_publicado?=
	=?UTF-8?Q?_ya=E2=80=A6=22?="
"Tue, 9 Jan 2024 17:41:32 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?Conversatorio_=22Reflexiones_desde_una_perspectiva_int?=
	=?UTF-8?Q?ernacional_sobre_la_transversalidad_de_los_Derechos_Humanos?=
	=?UTF-8?Q?=E2=80=9D?="
"Tue, 9 Jan 2024 17:27:09 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,CONVOCATORIA LABORAL - ING. INDUSTRIAL
"Tue, 9 Jan 2024 16:59:41 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_ING=2E_INDUSTRIAL?=
"Tue, 9 Jan 2024 16:54:18 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,CONVOCATORIA DE PRACTICAS - ING. INDUSTRIAL
"Tue, 9 Jan 2024 16:22:51 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_QUIMICA=2C_ING=2E_QU=C3=8DMICA=2C?=
	=?UTF-8?Q?_ING=2E_AMBIENTAL?="
"Tue, 9 Jan 2024 19:53:33 +0000 (UTC)","=?UTF-8?Q?Angelo_Aldo_Perez_Rodriguez_a_trav=C3=A9s_de_LinkedIn?=
 <invitations@linkedin.com>","=?UTF-8?Q?GABRIELA_ANGEL,_entabla_una_conversac?=
 =?UTF-8?Q?i=C3=B3n_con_tu_nuevo_contacto:Angelo_Aldo?="
"Tue, 09 Jan 2024 19:40:23 +0000 (UTC)",GitHub <noreply@github.com>,[GitHub] Your Dependabot alerts for the week of Jan 2 - Jan 9
"Tue, 9 Jan 2024 15:25:08 +0000 (UTC)",LinkedIn <messages-noreply@linkedin.com>,"=?UTF-8?Q?Como_has_guardado_un_empleo_de_Dise=C3=B1ado?=
 =?UTF-8?Q?r_de_interfaces_de_usuario,_te_recomenda?=
 =?UTF-8?Q?mos_mejorar_tus_aptitudes_de_Dise=C3=B1ador_d?=
 =?UTF-8?Q?e_interfaces_de_usuario_con_estos_cursos?="
"Tue, 09 Jan 2024 12:40:30 GMT","""Elsevier Health"" <promotion@health.email.elsevierhealth.com>","=?windows-1252?Q?=A1=DAltimas_horas!_Consiga_HOY_el_12%_de_Dto._?=
 =?windows-1252?Q?en_eBooks_de_su_especialidad._Caduca_el_10_de_enero._De?=
 =?windows-1252?Q?se_prisa?="
"Tue, 09 Jan 2024 12:20:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,"4 Weird Signs of a Mediocre Self-Taught Programmer | Sanjay
 Priyadarshi in Level Up Coding"
9 Jan 2024 06:44:03 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+klvCfk7AgIEFyZSB5b3UgY29kZSBvYnNlc3NlZD8gLSBU?=
 =?utf-8?B?aGUgRGFpbHkgSW5zaWRlcg==?="
"Tue, 9 Jan 2024 03:35:50 -0800",=?UTF-8?B?U0hFSU4=?= <shein@market.sheinmail.com>,"=?UTF-8?B?KzMwayBkZSBudWV2b3MgZGVzY3VlbnRvcyBoYW4gbGxlZ2Fkbw==?=
	=?UTF-8?B?8J+amg==?="
"Tue, 9 Jan 2024 10:56:33 +0000 (UTC)",LinkedIn <jobs-listings@linkedin.com>,"=?UTF-8?Q?Podr=C3=ADas_encajar_bien_en_el_puest?=
 =?UTF-8?Q?o_de_Junior_Kotlin_Developer_en_?=
 =?UTF-8?Q?Sophilabs_:_Env=C3=ADa_tu_solicitud_p?=
 =?UTF-8?Q?ara_que_est=C3=A9_entre_las_4_primeras?="
"Mon, 08 Jan 2024 21:00:14 -0800","""ROSA YULIANA GABRIELA PACCOTACYA/YANQUE (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Fecha_de_entrega_ma=C3=B1ana=3A_=22Proyecto_Final=3A_Autoevalu?=
	=?UTF-8?Q?aci=C3=B3n_y_evaluaci=C3=B3n_de_los_integrantes_de_su_grupo=22?="
"Tue, 9 Jan 2024 03:06:56 +0000",Mentioned by Cecilia Paz <premium@academia-mail.com>,"=?UTF-8?Q?=E2=80=9CG._Chipana_Perez=E2=80=9D:_1_menci=C3=B3n_en_un?=
 =?UTF-8?Q?_art=C3=ADculo_sobre_Sistemas_de_salud_recientemente_descubiertos?=
 =?UTF-8?Q?_por_Academia?="
"Tue, 9 Jan 2024 00:14:21 +0000 (UTC)",LinkedIn <notifications-noreply@linkedin.com>,"=?UTF-8?Q?=F0=9F=93=A9_GABRIELA_ANGEL_CHIPANA_PEREZ,_tienes?=
 =?UTF-8?Q?_una_invitaci=C3=B3n_nueva_y_una_notificaci=C3=B3n?="
"Mon, 8 Jan 2024 17:40:47 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,=?UTF-8?B?8J+nviBCb2xldMOtbiAiQWN0dWFsaWRhZCBBZ3VzdGluYSJfMDQ0?=
"Mon, 8 Jan 2024 16:08:53 -0600 (CST)",Docker <no-reply@docker.com>,"[Docker Navigator] Issue 1: New Year, New Newsletter"
"Mon, 8 Jan 2024 13:05:18 -0700",GitKraken <success@gitkraken.com>,"You've completed a free trial of GitKraken - please share your
 feedback!"
8 Jan 2024 12:55:35 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+SviBWaXNpb25GaXZlIDIgUklTQy1WIC0gQnVpbGRpbmcg?=
 =?utf-8?B?dGhlIExpbnV4IEtlcm5lbCAtIFRoZSBEYWlseSBCdWlsZA==?="
"Mon, 8 Jan 2024 17:53:29 +0000 (UTC)",LinkedIn <notifications-noreply@linkedin.com>,"=?UTF-8?Q?GABRIELA_ANGEL,_tus_publicaciones_obtuv?=
 =?UTF-8?Q?ieron_117=C2=A0impresiones_la_semana_pasada.?="
"Mon, 8 Jan 2024 17:53:27 +0000 (UTC)",Samuel Felipe Chambi Ytusaca <invitations@linkedin.com>,Acabo de solicitarte contacto
"Mon, 8 Jan 2024 12:31:40 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?=F0=9F=93=9C_Frase_de_la_Semana=3A_No_se_trata_de_d=C3=B3nde_est=C3=A9?=
	=?UTF-8?Q?s=2C_sino_d=C3=B3nde_quieres_llegar_=2D_Paul_Arden?="
"Mon, 08 Jan 2024 21:17:24 +0530",REDBUS <redbus@e-redbus.pe>,"=?UTF-8?Q?HASTA_25%_OFF=F0=9F=98=89_INICIA_ESTE_2024_VIAJANDO_?=
 =?UTF-8?Q?=F0=9F=9A=8C?="
"Mon, 08 Jan 2024 13:03:25 +0000 (UTC)","=?utf-8?q?Universidad_T=C3=A9cnica_Federico_Santa_Maria?=
	<noreply@jobsafari.cl>","=?UTF-8?B?wqFHQUJSSUVMQQ==?= ANGEL, Construye tu camino hacia el
 liderazgo! =?UTF-8?B?8J+Pl++4jyDDmm5ldGUgYWwgTWFnw61zdGVy?= en
 =?UTF-8?B?SW5nZW5pZXLDrWE=?= Industrial de la USM este 2024
 =?UTF-8?B?8J+agA==?="
"Mon, 8 Jan 2024 08:00:00 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?Adquisici=C3=B3n_de_Kits_para_el_proceso_de_=E2=80=9CEleccione?=
	=?UTF-8?Q?s_Complementarias_para_Decanos_de_las_Facultades_de_Ciencias?=
	=?UTF-8?Q?_de_la_Educaci=C3=B3n_e_Ingenier=C3=ADa_de_Producci=C3=B3n_y_Servicios=3B_?=
	=?UTF-8?Q?periodo_complementario_2024=2D2027=E2=80=9D?="
"Mon, 08 Jan 2024 12:20:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,"The Architecture of a Modern Startup | Dmitry Kruglov in Better
 Programming"
8 Jan 2024 06:46:52 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+klvCfk7AgIEZpcnN0LCBNaWNyb3NvZnQgQ29waWxvdCBj?=
 =?utf-8?B?YW1lIGZvciB5b3VyIGtleWJvYXJkLiBOb3csIGl0IHdhbnRzIHRvIGxp?=
 =?utf-8?B?dmUgaW4geW91ciBGaWxlIEV4cGxvcmVyLiAtIFRoZSBEYWlseSBJbnNp?=
 =?utf-8?B?ZGVy?="
"Mon, 8 Jan 2024 08:38:26 +0000",Slack <no-reply@slack.com>,=?utf-8?Q?Te_quedan_=33_d=c3=adas_m=c3=a1s_para_acceder_a_las_funciones_premium_de_Slack=2e?=
"Mon, 8 Jan 2024 08:26:26 +0000 (UTC)",SHEIN <shein@news.emailmarket.shein.com>,=?UTF-8?Q?Abr=C3=ADgate_con_nuestras_Rebajas_de_Invierno=F0=9F=94=A5?=
"Mon, 8 Jan 2024 02:53:38 +0000 (UTC)","=?UTF-8?Q?Josnick_Chay=C3=B1a_Batallanes_a_trav=C3=A9s_de_LinkedIn?=
 <invitations@linkedin.com>","=?UTF-8?Q?GABRIELA_ANGEL,_entabla_una_convers?=
 =?UTF-8?Q?aci=C3=B3n_con_tu_nuevo_contacto:Josnick?="
"Sun, 7 Jan 2024 11:45:04 -0800",=?UTF-8?B?U0hFSU4=?= <shein@market.sheinmail.com>,Calidad al Mejor Precio
"Sun, 07 Jan 2024 19:37:13 +0000 (UTC)","""Academia.edu"" <updates@academia-mail.com>",Someone just searched for you on Google...
"Sun, 07 Jan 2024 07:05:00 -0800","""ROSA YULIANA GABRIELA PACCOTACYA/YANQUE (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Fecha_de_entrega_ma=C3=B1ana=3A_=22Proyecto_Final_=3A_Informe_?=
	=?UTF-8?Q?formato_Paper_IEEE=22?="
"Sun, 07 Jan 2024 07:02:21 -0800","""ROSA YULIANA GABRIELA PACCOTACYA/YANQUE (Classroom)"" <no-reply@classroom.google.com>",=?UTF-8?Q?Fecha_de_entrega_ma=C3=B1ana=3A_=22Proyecto_Final=3A_Video=22?=
"Sun, 7 Jan 2024 06:55:13 -0800",=?UTF-8?B?U0hFSU4=?= <shein@market.sheinmail.com>,"=?UTF-8?B?wqFUb2NhIGxhcyBjYW1wYW5hcyBkZSBsYXMgcHJvbW9jaW9uZXM=?=
	=?UTF-8?B?IfCfkrg=?="
"Sun, 07 Jan 2024 12:20:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,"An Algo Trading Strategy which made +8,371%: A Python Case Study |
 Nikhil Adithyan in Level Up Coding"
"Sun, 7 Jan 2024 05:23:37 +0000 (UTC)",LinkedIn <member@linkedin.com>,"=?UTF-8?Q?=C2=A1Te_damos_la_bienvenida_a_Artificial_Intellige?=
 =?UTF-8?Q?nce,_Machine_Learning,_Data_Science_&_Robotics!?="
"Sat, 06 Jan 2024 20:53:28 -0800",meetings-noreply@google.com,=?UTF-8?Q?Datos_de_la_reuni=C3=B3n_=22vch=2Dkxvn=2Dcou=22_el_6_ene_2024?=
"Sun, 07 Jan 2024 04:50:34 +0000",meet-recordings-noreply@google.com,vch-kxvn-cou (2024-01-06 23:36 GMT-5)
"Sun, 07 Jan 2024 04:50:04 +0000",meet-recordings-noreply@google.com,vch-kxvn-cou (2024-01-06 23:44 GMT-5)
"Sat, 06 Jan 2024 20:12:07 -0800",meetings-noreply@google.com,=?UTF-8?Q?Datos_de_la_reuni=C3=B3n_=22xjs=2Dvcpj=2Dodz=22_el_6_ene_2024?=
"Sat, 06 Jan 2024 19:51:05 -0800",meetings-noreply@google.com,=?UTF-8?Q?Datos_de_la_reuni=C3=B3n_=22hnq=2Dwwhg=2Dwxe=22_el_6_ene_2024?=
"Sun, 7 Jan 2024 02:53:52 +0000 (UTC)","=?UTF-8?Q?Alvaro_H=2E_Mamani-Aliaga_a_trav=C3=A9s_de_LinkedIn?=
 <invitations@linkedin.com>","=?UTF-8?Q?GABRIELA_ANGEL,_entabla_una_conversa?=
 =?UTF-8?Q?ci=C3=B3n_con_tu_nuevo_contacto:Alvaro_H.?="
"Sun, 7 Jan 2024 01:52:45 +0000",Mentioned by Roberto Sousa <premium@academia-mail.com>,"=?UTF-8?Q?50%_Off,_2_days_only_-_Are_you_the_=E2=80=9CG._Chipana?=
 =?UTF-8?Q?_Perez=E2=80=9D_cited_in_Salud_papers=3F?="
"Sat, 6 Jan 2024 19:49:39 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_LABORAL_=2D_ING=2E_INDUSTRIAL=2C_ADMINISTRACI?=
	=?UTF-8?Q?=C3=93N?="
"Sat, 6 Jan 2024 19:43:25 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"CONVOCATORIA LABORAL - ING. INDUSTRIAL, PSICOLOGO"
"Sat, 6 Jan 2024 19:38:53 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_CONTABILIDAD=2C_ECONOM=C3=8DA?=
	=?UTF-8?Q?=2C_FINANZAS=2C_ADMINISTRACI=C3=93N?="
"Sat, 6 Jan 2024 19:33:03 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,CONVOCATORIA LABORAL
"Sat, 6 Jan 2024 18:42:44 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_DERECHO?=
"Sat, 6 Jan 2024 18:40:36 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,CONVOCATORIA LABORAL - ING. INDUSTRIAL
"Sat, 6 Jan 2024 18:35:13 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_LABORAL_=E2=80=93_ING=2E_ELECTR=C3=93NICA=2C_ING=2E_EL?=
	=?UTF-8?Q?=C3=89CTRICA=2C_ING=2E_TELECOMUNICACIONES?="
"Sat, 6 Jan 2024 18:24:42 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,CONVOCATORIA LABORAL - ING. AMBIENTAL
"Sat, 6 Jan 2024 18:19:56 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_LABORAL_=2D_ADMINISTRACI=C3=93N=2C_ING=2E_INDUSTR?=
	=?UTF-8?Q?IAL?="
"Sat, 6 Jan 2024 18:15:18 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,CONVOCATORIA LABORAL - ING. CIVIL
"Sat, 6 Jan 2024 22:25:11 +0000 (UTC)",LinkedIn <messages-noreply@linkedin.com>,"=?UTF-8?Q?GABRIELA_ANGEL,_sigue_a_Ana_Gabriela_Solano_Alarc?=
 =?UTF-8?Q?=C3=B3n,_Senior_IT_Talent_Consultant:_17.971_seguidores?="
"Sat, 6 Jan 2024 14:22:59 +0000",Info Chiletrabajos <info@chiletrabajos.cl>,Prueba la compatibilidad de tu CV GRATIS!
"Sat, 06 Jan 2024 12:20:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,"Lessons Learnt from 3 Years as Head of Platforms | Matt Bentley in
 Level Up Coding"
"Sat, 6 Jan 2024 01:59:35 +0000 (UTC)",Alertas de empleo de LinkedIn <jobalerts-noreply@linkedin.com>,=?UTF-8?Q?=C2=ABProductor=C2=BB:_Productor_audiovisual_-_Alivia_Media?=
"Fri, 5 Jan 2024 18:42:45 -0500",ALVARO HENRY MAMANI ALIAGA <amamaniali@unsa.edu.pe>,"=?UTF-8?Q?Re=3A_Justificaci=C3=B3n_de_falta_=2D_cloud_presentaci=C3=B3n_de?=
	=?UTF-8?Q?_pipeline_streaming_de_v=C3=ADdeo?="
"Fri, 5 Jan 2024 19:53:28 +0000 (UTC)",JACK CHRISTOPHER HUAIHUA HUAYHUA <invitations@linkedin.com>,Acabo de solicitarte contacto
"Fri, 5 Jan 2024 19:49:01 +0000 (UTC)",LinkedIn <jobs-noreply@linkedin.com>,"Nuevos empleos similares a Web Developer - Remote, Full-Time en
 Bluelight Consulting | DevOps & Software Development"
"Fri, 5 Jan 2024 18:38:22 +0000 (UTC)",LinkedIn <jobs-listings@linkedin.com>,Puesto de UX UI Jr en erdna y otras vacantes
"Fri, 05 Jan 2024 12:27:13 -0600","=?UTF-8?Q?Banco_Falabella_Per=C3=BA?=
 <contacto@pe.bancofalabella.com>","=?UTF-8?B?wqFQYWdhIHR1cyBzZXJ2aWNpb3Mgc2luIHNhbGlyIGRlIGNhc2Eh?=
 =?UTF-8?B?IPCfkqHwn5Oy?="
5 Jan 2024 12:53:17 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+SviBTaGFycE1va3UgYSBHb21va3UvRml2ZSBpbiBhIFJv?=
 =?utf-8?B?dyBXcml0dGVuIGluIEMjIC0gVGhlIERhaWx5IEJ1aWxk?="
"Fri, 05 Jan 2024 10:01:11 -0600","""Tottus"" <contacto@pe.tottus.com>","=?UTF-8?B?wqFMbGVnw7MgZWwgVmVyYW5vISDimIDvuI/wn5W277iPIEhhc3Rh?=
 =?UTF-8?B?IDE1JSBPRkYgZW4gUHJvdGVjY2nDs24gU29sYXIgZW4gVG90dHVzIEFQUC4g?=
 =?UTF-8?B?8J+bkvCfkqg=?="
"Fri, 05 Jan 2024 13:30:58 +0000 (UTC)",Medium <hello@medium.com>,"The Edition: Goodbye 2023, hello 2024"
"Fri, 05 Jan 2024 12:20:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,The End of Programming | Matt Welsh in Level Up Coding
5 Jan 2024 06:44:23 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+klvCfk7AgIE5ldyB0b29sIGhlbHBzIG1pZ3JhdGUgb24t?=
 =?utf-8?B?cHJlbWlzZXMgLk5FVCBhcHBzIHRvIEF6dXJlIENsb3VkIC0gVGhlIERh?=
 =?utf-8?B?aWx5IEluc2lkZXI=?="
"Fri, 5 Jan 2024 02:58:59 -0800",=?UTF-8?B?U0hFSU4=?= <shein@market.sheinmail.com>,"=?UTF-8?B?TGFzIFJlYmFqYXMgZGUgSW52aWVybm8gLcKgIFNvbiBHcmFuZGU=?=
	=?UTF-8?B?cy4uLnkgYWhvcmEgwqFBw5pOIE3DgVMh8J+OiA==?="
"Fri, 5 Jan 2024 10:46:34 +0000",Info <postulaciones@chiletrabajos.cl>,"GABRIELA ANGEL, tienes una invitacion a postular #3288242"
"Thu, 04 Jan 2024 21:06:59 -0800","""ROSA YULIANA GABRIELA PACCOTACYA/YANQUE (Classroom)"" <no-reply@classroom.google.com>",=?UTF-8?B?TnVldmEgdGFyZWE6ICJQcm95ZWN0byBGaW5hbDogQXV0b2V2YWx1YWNpw7NuIHnigKYi?=
"Thu, 04 Jan 2024 21:01:46 -0800","""ROSA YULIANA GABRIELA PACCOTACYA/YANQUE (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Nueva_tarea=3A_=22Proyecto_Final_=3A_Informe_formato_Paper?=
	=?UTF-8?Q?=E2=80=A6=22?="
"Thu, 04 Jan 2024 20:53:28 -0800","""ROSA YULIANA GABRIELA PACCOTACYA/YANQUE (Classroom)"" <no-reply@classroom.google.com>","Nueva tarea: ""Proyecto Final: Video"""
"Thu, 04 Jan 2024 20:35:55 -0800","""ROLANDO JESUS CARDENAS TALAVERA (Classroom)"" <no-reply@classroom.google.com>",=?UTF-8?Q?Calificaci=C3=B3n_de=3A_=22Hack_The_Box=22?=
"Fri, 5 Jan 2024 00:40:14 +0000",Mentioned by Esperanza Guarneros Reyes <premium@academia-mail.com>,"=?UTF-8?Q?=E2=80=9CGabriela_Angel_Chipana_Perez=E2=80=9D:_1?=
 =?UTF-8?Q?_menci=C3=B3n_en_un_art=C3=ADculo_sobre_Salud_recientemente?=
 =?UTF-8?Q?_descubiertos_por_Academia?="
"Fri, 5 Jan 2024 00:21:24 +0000 (UTC)",LinkedIn <messages-noreply@linkedin.com>,32 personas han visitado tu perfil
"Thu, 04 Jan 2024 16:11:03 -0800","""EDGAR SARMIENTO CALISAYA (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?B?TnVldm8gYW51bmNpbzogIkVzdGltYWRAcyBhbHVtbm9zLApMYSBwcmVzZW50YWNpw7NuIA==?=
	=?UTF-8?B?ZGXigKYi?="
"Thu, 4 Jan 2024 13:00:00 -0500 (EST)",ACM Learning Center <learning@acm.org>,"January 24 Talk, ""The Impact of ML/AI on Networking and the
 Internet Over the Last Decade"" with Cisco Fellow and Top Inventor JP
 Vasseur"
"Thu, 4 Jan 2024 14:34:44 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?=F0=9F=93=9C_Frase_de_la_Semana=3A_El_comienzo_es_la_parte_m=C3=A1?=
	=?UTF-8?Q?s_importante_del_recorrido_=2D_Plat=C3=B3n?="
"Thu, 4 Jan 2024 13:53:08 -0500","=?UTF-8?Q?UNIDAD_DE_PROMOCI=C3=93N_DE_ARTE_CULTURA_DEPORTE_Y_RECREACI?=
	=?UTF-8?Q?=C3=93N_=2D_TALLERES?= <upacdr_talleres@unsa.edu.pe>","=?UTF-8?Q?Convalidaciones_de_Cr=C3=A9ditos_Extracurriculares_2023=2D?=
	=?UTF-8?Q?6?="
"Thu, 04 Jan 2024 18:05:20 +0000",Roboflow Team <hello@roboflow.com>,Using MetaCLIP in your Applications
4 Jan 2024 12:58:33 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>",=?utf-8?B?8J+SviBJbnRlbGxpUG9ydCAtIFRoZSBEYWlseSBCdWlsZA==?=
"Thu, 04 Jan 2024 06:35:29 +0000",ResearchGate <no-reply@researchgatemail.net>,Jiby J Puthiyidam published an article
